,Unnamed: 0,business_id,is_open,name,latitude,longitude,stars,review_count,categories,stars2017,review_count2017,num_chain,chain,tips,tips2017,checkin,checkin2017,age
0,136515,Or4_p19mJO8Ux9lWVbHyHQ,1,LA Fitness,43.667633545200005,-79.4643727156,3.5,0.0039662865642042635,"Trainers, Swimming Pools, Fitness & Instruction, Gyms, Yoga, Active Life",3.375,8,69,1,0.0004957858205255329,1,0.0019831432821021317,3,2017
1,137242,TyUh9biy74_7tQ0FegRv5A,1,LA Fitness,33.6403017,-112.1786033,3.0,0.0313588850174216,"Fitness & Instruction, Trainers, Gyms, Sports Clubs, Yoga, Active Life",2.8676470588235294,68,69,1,0.013937282229965157,1,0.32254853160776503,56,2009
2,189296,exCFo2rc3mp9yFOXdwexMw,0,LA Fitness,33.3772187,-111.8954433,2.5,0.00992063492063492,"Trainers, Sports Clubs, Active Life, Yoga, Gyms, Fitness & Instruction",2.55,20,69,1,0.000496031746031746,1,0.08035714285714286,131,2016
3,20160,Z5L-jOexcqCXfXWTIWnYlw,1,Jung Soo Nae Restaurant,43.7833387,-79.4168637,3.5,0.022885572139303482,"Restaurants, Korean",3.297872340425532,47,1,0,0.0029850746268656717,1,0.039303482587064675,9,2010
4,71774,iP0o0sxOhxLssSdME4SZvg,1,The Healing Panda,36.0180991,-115.10122539999999,4.5,0.11276701440635867,"Coffee & Tea, Cafes, Bakeries, Desserts, Breakfast & Brunch, Juice Bars & Smoothies, Cannabis Clinics, Vegan, Restaurants, Gluten-Free, Food, Health & Medical, Local Flavor, Nutritionists, Cannabis Dispensaries, Shopping, Cannabis Collective",4.288135593220339,236,1,0,0.02334823646299056,6,0.25732737208147044,64,2013
5,100504,LBHbyID7tcaGszznHtnCrw,1,JOEY Eaton Centre,43.6557834779,-79.3818157911,3.5,0.20934858279462953,"American (New), Restaurants, Canadian (New), Lounges, Bars, Sports Bars, Nightlife",3.703271028037383,428,1,0,0.03182496270512183,6,0.42416708105420187,104,2011
6,89183,G7xS3HiTKHnRhI8cNRGXpA,1,Mothership Coffee Roasters,36.069661685300005,-115.0816959919,4.5,0.20148883374689827,"Coffee Roasteries, Bakeries, Coffee & Tea, Food",4.484486873508353,419,1,0,0.039205955334987594,21,0.71712158808933,393,2015
7,176780,fgqbULFuRy2Soo4hQwAa3A,1,Massage Envy - Desert Ridge,33.6790265746,-111.9747334099,3.5,0.03330019880715706,"Skin Care, Day Spas, Massage, Massage Therapy, Beauty & Spas, Health & Medical",3.418918918918919,74,1,0,0.004970178926441352,2,0.12773359840954274,18,2012
8,114310,HptvLM6QOQybTYglMu6FvQ,1,Dixie Grill & Grocery,35.202726,-80.974971,4.0,0.012437810945273632,"Grocery, American (Traditional), Sandwiches, Food, Burgers, Convenience Stores, Restaurants",4.08,25,1,0,0.003980099502487562,2,0.025373134328358207,4,2010
9,61928,QqOi3jkuyvhlpy_HkJAQ5g,1,Firestone Complete Auto Care,36.1948311261,-115.2475131157,3.5,0.039244908097367116,"Auto Parts & Supplies, Tires, Oil Change Stations, Automotive, Auto Repair",3.4814814814814814,81,110,1,0.004470938897168405,1,0.026825633383010434,4,2013
10,188400,HFRtk5Ec6H_MArfmFteVtQ,1,Firestone Complete Auto Care,33.3919643,-112.1691024,2.5,0.014420686225758329,"Tires, Oil Change Stations, Automotive, Auto Repair, Auto Parts & Supplies",2.4516129032258065,31,110,1,0.001989060169070114,1,0.02536051715564396,1,2011
11,44965,-z9IQza32guuRyqF8jxMyQ,1,Gran Gusto Ristorante,43.7879906105,-79.5519536484,4.5,0.008440913604766634,"Italian, Restaurants, Pizza",4.294117647058823,17,1,0,0.0014895729890764648,1,0.007447864945382324,2,2014
12,127278,O2rcH_g5cyBdCMiJEiQztg,1,Stress Away,33.522372,-112.09641,4.5,0.005964214711729622,"Beauty & Spas, Shopping Centers, Massage, Shopping",4.5,12,1,0,0.0004970178926441351,1,0.016401590457256462,12,2012
13,8502,wlLUgmx5HIzM-sfhZwpatA,1,Moksha Yoga Aurora,43.990311299999995,-79.4547777,4.5,0.0014925373134328358,"Yoga, Fitness & Instruction, Active Life",4.666666666666667,3,1,0,0.0024875621890547263,1,0.007960199004975124,8,2010
14,118955,Z4ZSe8hQf2wd8Ozck94iWw,1,Concrete Trend,36.0114568676,-115.1071913368,4.0,0.002478929102627665,"Contractors, Pressure Washers, Masonry/Concrete, Refinishing Services, Home Services",4.333333333333333,6,1,0,0.0004957858205255329,1,0.0,0,2017
